LivingArea,LotArea,GarageArea,UnfinBsmtSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,TotalRooms,OverallQual,OverallCond,BsmtQual,YearBuilt,YearRemod,Neighborhood,SalePrice
1003,7937,588,184,1003,1003,0,6,6,6,TA,1984,1984,Mitchel,142500
1558,13710,282,490,910,910,648,6,5,5,TA,1950,1950,IDOTRR,152000
1950,7399,576,326,975,975,975,7,7,5,Gd,1997,1998,Somerst,239000
1743,11700,539,143,702,1041,702,7,6,6,TA,1968,1968,NWAmes,175000
1152,14000,300,1092,1092,1152,0,6,6,8,TA,1950,2004,Crawfor,158500
1336,15750,375,324,1165,1336,0,5,5,5,TA,1953,1953,Crawfor,157000
2452,16226,683,747,1028,1210,1242,9,8,5,Gd,1998,1999,CollgCr,267000
1541,13704,843,1541,1541,1541,0,6,7,5,Gd,2001,2002,CollgCr,205000
894,9800,552,0,894,894,0,5,5,7,TA,1972,1972,CollgCr,149900
3493,18386,870,1470,1470,1675,1818,10,7,9,TA,1880,2002,OldTown,295000
2000,10386,888,536,2000,2000,0,8,8,5,Gd,2004,2005,CollgCr,305900
2243,13474,746,0,700,1122,1121,8,7,5,Gd,1990,1991,SawyerW,225000
1406,7920,0,319,319,1035,371,6,6,7,TA,1920,1950,IDOTRR,89500
861,12342,539,599,861,861,0,4,4,5,TA,1940,1950,Edwards,82500
1944,12378,708,622,1896,1944,0,8,9,5,Ex,2003,2004,NridgHt,360000
1501,7685,420,179,697,697,804,6,6,5,Gd,1993,1994,Gilbert,165600
972,8000,240,292,972,972,0,5,6,6,TA,1948,2002,NAmes,132000
1118,7800,410,286,793,793,325,5,5,7,Gd,1939,1950,OldTown,119900
2036,215245,513,80,2136,2036,0,8,7,5,Gd,1965,1965,Timber,375000
1641,9600,546,712,728,832,809,6,7,7,TA,1925,1990,OldTown,178000
1432,7795,432,291,716,716,716,6,7,5,Gd,2004,2005,Gilbert,188500
2353,13005,484,153,845,1153,1200,10,7,7,Gd,1980,1980,NWAmes,260000
1959,9000,1025,1088,1088,1088,871,8,8,5,Gd,2006,2006,Somerst,270000
2646,9900,656,360,1347,1372,1274,9,7,5,Gd,1993,1993,NoRidge,260000
1472,14115,588,336,1372,1472,0,6,7,5,Gd,1980,1980,NWAmes,187500
2596,16259,840,1249,1249,1249,1347,9,9,5,Ex,2006,2006,NridgHt,342643
2468,12099,872,166,1136,1136,1332,10,8,5,Ex,2004,2004,NridgHt,354000
2730,10380,576,0,1502,1553,1177,8,7,5,TA,1986,1987,SawyerW,301000
1163,5820,220,906,1162,1163,0,6,3,8,TA,1955,2005,OldTown,126175
2978,11275,564,710,710,1898,1080,11,7,7,Gd,1967,2007,NAmes,242000
803,5000,360,604,720,803,0,5,5,6,TA,1941,1950,IDOTRR,87000
1719,10846,473,100,1719,1719,0,6,8,5,Gd,1993,1993,Veenker,324000
1383,11600,292,818,1383,1383,0,7,6,5,TA,1960,1960,NAmes,145250
2134,11888,441,844,844,1445,689,10,6,6,TA,1916,1994,BrkSide,214500
1192,6402,189,596,596,596,596,6,5,5,TA,1920,1950,IDOTRR,78000
1728,10624,352,1424,1728,1728,0,10,5,4,TA,1964,1964,NAmes,119000
1056,8176,308,210,1056,1056,0,6,5,6,TA,1958,1992,NAmes,139000
